Сорт;Название;Регион;Высота;Длительность созревания (нед.);Описание
Бурбон;Бразилия Эфраин Алвес;Ю. Америка;1300;10;Натуральный на патио
Бурбон;Бурунди Бузирагухиндва;Африка;2000;15;Депульпация, сухая ферментация 12 часов, замачивание 24 часа
SL28;Кения Гатаити;Африка;1900;21;Мытый, ферментация 16-24 часа, промывание, замачивание 16-18 часов
SL28;Кения Мутуньо;Африка;1650;10;16 часов ферментации, промывка и 24 часа замачивания в воде
SL34;Кения Тегу;Африка;1800;21;Депульпация, сухая ферментация 24 часа, замачивание 12 часов
Катурра;Колумбия Намесио Рамос;Ц. Америка;1700;17;Мытый, ферментация 24 часа
Катурра;Колумбия Рабаэль Айа;Ц. Америка;1800;25;Мытый, сухая ферментация 100 часов
Катурра;Коста Рика Лос Крестонес;Ц. Америка;1900;8;Депульпация, ферментация 2 раза по 12 часов, промывание после каждого раза
Бурбон;Руанда Махембе;Африка;1900;21;Эко-депульпация, ферментация 12 часов, замачивание 16 часов
Бурбон;Сальвадор Буэна Виста;Ц. Америка;1350;20;Натуральный
Эфиопское наследие;Эфиопия Бильдиму;Африка;1900;10;Мытый, ферментация 24-48 часов, промывка и грейдинг через каналы, замачивание 24 часа в воде
Эфиопское наследие;Эфиопия Диима;Африка;1900;15;Натуральный
Типика;Эфиопия Дилги;Африка;2000;12;Мытый, 48 часов ферментация, промывание через каналы, 24 часа замачивание
					
